population,n_responders,n_non_responders,mean_pct_responders,mean_pct_non_responders,mannwhitney_u,mannwhitney_p,welch_t,welch_p,mannwhitney_p_adj_bh,significant_bh_0.05
cd4_t_cell,993,975,30.538,29.902,515277.5,0.013339773203683436,2.809,0.0050125218105089575,0.06669886601841718,False
b_cell,993,975,9.798,9.996,459968.0,0.055671864662198346,-1.369,0.17121713086618257,0.13917966165549586,False
nk_cell,993,975,14.841,15.073,464546.5,0.12106031279217618,-1.303,0.19264496557335578,0.20176718798696028,False
monocyte,993,975,19.942,20.084,466509.0,0.1631261907294168,-0.729,0.4658489494123531,0.203907738411771,False
cd8_t_cell,993,975,24.882,24.944,478175.5,0.6390575277665635,-0.294,0.7684703783049185,0.6390575277665635,False
